game_id,off_player_id,off_team_id,def_player_id,def_team_id,matchup_min,partial_poss,pct_defender_total_time,pct_off_total_time,pct_total_time_both_on,player_pts,team_pts,matchup_ast,matchup_tov,matchup_blk,matchup_fgm,matchup_fga,matchup_fg3m,matchup_fg3a,matchup_ftm,matchup_fta,sfl
0042000171,1629029,1610612742,202331,1610612746,2:02,6.91,0.15,0.145,0.175,2,7,1,1,0,1,4,0,0,0,0,0
0042000171,1629029,1610612742,201586,1610612746,0:41,1.81,0.148,0.049,0.185,3,4,0,0,0,1,3,0,2,1,2,1
0042000171,1629029,1610612742,202704,1610612746,0:39,2.13,0.09,0.047,0.114,3,6,0,0,0,1,1,1,1,0,0,0
0042000171,1629029,1610612742,202695,1610612746,1:43,7.16,0.127,0.122,0.137,0,14,2,0,0,0,0,0,0,0,0,0
0042000171,1629029,1610612742,1629611,1610612746,0:01,0.03,0.042,0.001,0.042,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,1629029,1610612742,202694,1610612746,1:05,4.09,0.101,0.077,0.115,3,7,1,0,0,1,3,1,1,0,0,0
0042000171,1629029,1610612742,200765,1610612746,1:19,4.65,0.169,0.094,0.207,0,6,1,0,0,0,2,0,1,0,0,0
0042000171,1629029,1610612742,1627826,1610612746,1:35,5.43,0.243,0.113,0.243,16,15,0,0,0,6,9,3,6,1,2,1
0042000171,1626161,1610612742,201587,1610612746,0:09,0.47,0.014,0.103,0.102,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,1626161,1610612742,202331,1610612746,0:04,0.19,0.004,0.037,0.047,0,2,0,0,0,0,0,0,0,0,0,0
0042000171,1626161,1610612742,201586,1610612746,1:17,4.95,0.279,0.86,0.855,0,5,0,1,0,0,0,0,0,0,0,0
0042000171,1628973,1610612742,201587,1610612746,1:19,4.54,0.125,0.189,0.189,0,2,0,0,0,0,1,0,0,0,0,0
0042000171,1628973,1610612742,201976,1610612746,0:08,0.29,0.021,0.019,0.211,0,3,1,0,0,0,0,0,0,0,0,0
0042000171,1628973,1610612742,202331,1610612746,1:17,4.01,0.096,0.186,0.226,4,5,1,0,0,1,1,0,0,2,3,2
0042000171,1628973,1610612742,201586,1610612746,0:20,1.02,0.071,0.047,0.073,2,5,0,0,0,1,1,0,0,0,0,0
0042000171,1628973,1610612742,202704,1610612746,1:49,5.31,0.25,0.261,0.31,5,8,0,0,0,2,3,0,0,1,1,1
