game_id,period,player_id,team_id,opponent_team_id,u10_ft_fg2m,u10_ft_fg2a,o10_ft_fg2m,o10_ft_fg2a,fg3m,fg3a,close_def_dist,shot_clock,touch_time,dribble_range
0041500102,1,202681,1610612739,1610612765,0,0,0,0,1,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500103,2,202704,1610612765,1610612739,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500113,2,200768,1610612761,1610612754,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500115,2,101145,1610612754,1610612761,1,1,0,0,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500116,2,200768,1610612761,1610612754,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500116,3,101145,1610612754,1610612761,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500122,2,201609,1610612748,1610612766,0,0,0,0,1,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500125,1,201609,1610612748,1610612766,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500126,1,201587,1610612766,1610612748,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500127,1,201584,1610612766,1610612748,0,0,1,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500131,3,201952,1610612737,1610612738,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500136,1,202323,1610612738,1610612737,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500143,2,201935,1610612745,1610612744,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500143,3,201935,1610612745,1610612744,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500152,3,2225,1610612759,1610612763,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500152,4,202362,1610612763,1610612759,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500153,3,2440,1610612763,1610612759,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500162,4,201566,1610612760,1610612742,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500164,2,201566,1610612760,1610612742,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500171,3,203081,1610612757,1610612746,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500172,1,101108,1610612746,1610612757,1,1,0,0,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500175,1,203081,1610612757,1610612746,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500175,2,203468,1610612757,1610612746,0,0,1,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500176,3,203081,1610612757,1610612746,0,0,0,0,1,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500201,3,203471,1610612737,1610612739,0,0,0,0,1,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500201,4,203471,1610612737,1610612739,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500203,3,202681,1610612739,1610612737,0,0,1,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500211,3,201609,1610612748,1610612761,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500212,1,201609,1610612748,1610612761,0,0,0,0,1,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500213,2,200768,1610612761,1610612748,0,0,1,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500215,2,200768,1610612761,1610612748,0,0,0,0,1,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500224,1,201939,1610612744,1610612757,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500225,1,203081,1610612757,1610612744,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500225,2,203081,1610612757,1610612744,0,0,1,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500233,2,201566,1610612760,1610612759,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500235,2,2225,1610612759,1610612760,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500302,4,2590,1610612739,1610612761,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500305,3,2544,1610612739,1610612761,0,0,0,0,1,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500305,3,202681,1610612739,1610612761,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500313,1,201939,1610612744,1610612760,0,0,0,0,1,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500314,1,201939,1610612744,1610612760,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500315,1,201939,1610612744,1610612760,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500315,3,201566,1610612760,1610612744,0,0,1,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500316,3,201939,1610612744,1610612760,0,0,0,0,1,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500317,1,201939,1610612744,1610612760,0,0,0,0,1,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500317,2,2733,1610612744,1610612760,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500317,2,201566,1610612760,1610612744,0,0,1,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500404,3,201939,1610612744,1610612739,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041500104,1,202694,1610612765,1610612739,0,0,0,0,1,1,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,0 Dribbles
0041500211,1,2736,1610612748,1610612761,0,0,0,1,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,0 Dribbles
0041500222,1,203468,1610612757,1610612744,0,0,1,1,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,0 Dribbles
0041500314,1,201586,1610612760,1610612744,0,0,0,0,0,1,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,0 Dribbles
0041500135,3,203471,1610612737,1610612738,1,1,0,0,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,1 Dribble
0041500143,1,201976,1610612745,1610612744,0,0,0,0,0,1,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,1 Dribble
0041500162,3,200751,1610612760,1610612742,0,0,0,0,0,1,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,1 Dribble
0041500163,1,1717,1610612742,1610612760,0,0,1,1,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,1 Dribble
0041500163,4,201566,1610612760,1610612742,1,1,0,0,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,1 Dribble
0041500172,1,203486,1610612757,1610612746,0,1,0,0,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,1 Dribble
0041500224,1,201945,1610612757,1610612744,0,1,0,0,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,1 Dribble
0041500233,1,1938,1610612759,1610612760,1,1,0,0,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,1 Dribble
0041500304,2,202335,1610612761,1610612739,1,1,0,0,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,1 Dribble
0041500406,2,202681,1610612739,1610612744,1,1,0,0,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,1 Dribble
0041500104,2,2544,1610612739,1610612765,1,1,0,0,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500112,1,201588,1610612754,1610612761,0,0,1,1,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500114,2,201951,1610612754,1610612761,0,0,1,1,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500117,1,202331,1610612754,1610612761,1,1,0,0,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500122,3,201609,1610612748,1610612766,0,0,0,1,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500126,1,202689,1610612766,1610612748,0,0,0,0,1,1,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500131,4,202340,1610612738,1610612737,0,0,1,1,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500136,1,201952,1610612737,1610612738,0,0,0,0,0,1,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500142,2,201935,1610612745,1610612744,0,0,0,0,0,1,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500143,4,203546,1610612744,1610612745,1,1,0,0,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500144,2,201935,1610612745,1610612744,1,1,0,0,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500151,2,202695,1610612759,1610612763,1,1,0,0,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500163,1,202083,1610612742,1610612760,0,0,0,0,0,1,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500165,3,203460,1610612760,1610612742,1,1,0,0,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500201,1,203145,1610612737,1610612739,0,0,0,0,0,1,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500203,1,203471,1610612737,1610612739,0,0,0,0,1,1,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500212,3,201942,1610612761,1610612748,0,0,1,1,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500214,1,2548,1610612748,1610612761,1,1,0,0,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500302,2,200768,1610612761,1610612739,0,0,0,0,0,1,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500305,4,1626153,1610612761,1610612739,1,1,0,0,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500313,1,2738,1610612744,1610612760,1,1,0,0,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500314,1,2733,1610612744,1610612760,1,1,0,0,0,0,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
0041500401,2,202681,1610612739,1610612744,0,0,0,0,0,1,6+ Feet - Wide Open,22-18 Very Early,Touch 2-6 Seconds,2 Dribbles
