game_id,period,player_id,team_id,opponent_team_id,u10_ft_fg2m,u10_ft_fg2a,o10_ft_fg2m,o10_ft_fg2a,fg3m,fg3a,close_def_dist,shot_clock,touch_time,dribble_range
0041300103,4,202362,1610612754,1610612737,0,0,1,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041300106,2,201952,1610612737,1610612754,0,0,0,0,1,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041300106,2,202714,1610612737,1610612754,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041300114,2,951,1610612748,1610612766,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041300141,1,101181,1610612742,1610612759,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041300142,3,101181,1610612742,1610612759,0,0,1,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041300142,3,201988,1610612759,1610612742,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041300143,4,101145,1610612742,1610612759,0,0,1,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041300145,2,201158,1610612759,1610612742,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041300147,1,2225,1610612759,1610612742,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041300151,1,201144,1610612763,1610612760,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041300155,3,201566,1610612760,1610612763,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041300173,2,202391,1610612745,1610612757,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041300173,5,203081,1610612757,1610612745,1,1,0,0,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041300174,2,2590,1610612757,1610612745,0,0,1,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041300175,4,203080,1610612757,1610612745,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041300202,3,202362,1610612754,1610612764,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041300204,3,202362,1610612754,1610612764,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
