Player,Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
Jordan Poole,2017-18,Michigan,Big Ten,FR,38,0,12.5,2.0,4.6,.429,0.9,1.8,.522,1.1,2.8,.370,1.1,1.4,.827,0.1,1.3,1.4,0.6,0.5,0.2,0.7,1.1,6.1,,9.41
Jordan Poole,2018-19,Michigan,Big Ten,SO,37,37,33.1,4.4,10.0,.436,2.3,4.5,.518,2.0,5.5,.369,2.0,2.4,.833,0.2,2.8,3.0,2.2,1.1,0.2,1.5,2.0,12.8,,10.55
Keldon Johnson,2018-19,Kentucky,SEC,FR,37,36,30.7,4.6,10.1,.461,3.4,6.9,.498,1.2,3.2,.381,2.9,4.2,.703,1.3,4.5,5.9,1.6,0.8,0.2,1.6,2.2,13.5,,10.29
Kevin Porter Jr.,2018-19,USC,Pac-12,FR,21,4,22.1,3.5,7.5,.471,2.2,4.2,.517,1.3,3.2,.412,1.1,2.2,.522,1.0,3.0,4.0,1.4,0.8,0.5,1.9,2.1,9.5,,4.96
Nic Claxton,2017-18,Georgia,SEC,FR,33,5,14.7,1.3,3.0,.449,1.1,2.3,.474,0.2,0.7,.364,1.0,2.0,.523,1.7,2.2,3.9,0.2,0.2,1.3,0.7,1.7,3.9,,8.87
Nic Claxton,2018-19,Georgia,SEC,SO,32,32,31.6,4.3,9.3,.460,3.7,7.3,.509,0.6,2.0,.281,3.8,6.0,.641,2.3,6.3,8.6,1.8,1.1,2.5,2.1,2.8,13.0,,8.12
KZ Okpala,2017-18,Stanford,Pac-12,FR,23,21,28.5,3.3,8.3,.393,3.0,7.0,.425,0.3,1.3,.226,3.2,4.7,.679,1.2,2.6,3.7,1.8,1.0,0.6,2.5,3.0,10.0,,7.14
KZ Okpala,2018-19,Stanford,Pac-12,SO,29,29,32.7,5.9,12.7,.463,4.8,9.7,.493,1.1,3.0,.368,4.0,6.0,.671,1.2,4.5,5.7,2.0,1.0,0.5,2.9,2.5,16.8,,5.13
Carsen Edwards,2016-17,Purdue,Big Ten,FR,35,21,23.2,3.7,9.6,.382,2.3,5.5,.414,1.4,4.1,.340,1.6,2.1,.743,0.4,2.2,2.6,1.8,1.0,0.1,1.8,1.9,10.3,,8.79
Carsen Edwards,2017-18,Purdue,Big Ten,SO,37,37,29.5,6.2,13.5,.458,3.6,7.1,.506,2.6,6.5,.406,3.5,4.3,.824,0.4,3.5,3.8,2.8,1.1,0.2,1.7,1.8,18.5,,8.74
Carsen Edwards,2018-19,Purdue,Big Ten,JR,36,36,35.4,7.7,19.5,.394,3.9,9.0,.440,3.8,10.6,.355,5.1,6.1,.837,0.4,3.2,3.6,2.9,1.3,0.3,3.1,2.0,24.3,,11.99
Bruno Fernando,2017-18,Maryland,Big Ten,FR,30,20,22.4,3.9,6.8,.578,3.9,6.7,.582,0.0,0.1,.333,2.4,3.2,.740,1.5,5.0,6.5,0.7,0.4,1.2,1.8,2.9,10.3,,7.94
Bruno Fernando,2018-19,Maryland,Big Ten,SO,34,33,30.0,5.1,8.4,.607,5.0,8.1,.618,0.1,0.3,.300,3.3,4.3,.779,2.9,7.7,10.6,2.0,0.6,1.9,2.8,2.7,13.6,,10.09
Cody Martin,2014-15,NC State,ACC,FR,19,3,11.4,1.5,3.1,.475,1.5,2.7,.538,0.0,0.4,.000,0.5,0.9,.529,0.9,1.1,2.0,1.2,0.5,0.3,0.9,1.9,3.4,,9.72
Cody Martin,2015-16,NC State,ACC,SO,33,16,25.9,2.4,5.1,.467,2.3,4.8,.469,0.1,0.2,.429,1.2,2.0,.597,1.7,2.6,4.4,2.3,1.2,0.4,1.4,2.1,6.0,,9.04
Cody Martin,2016-17,,,Transfer
Cody Martin,2017-18,Nevada,MWC,JR,36,34,35.7,5.4,10.4,.516,4.9,9.0,.551,0.4,1.4,.294,2.9,4.1,.701,1.8,4.4,6.3,4.7,1.7,1.5,2.0,2.4,14.0,,4.93
Cody Martin,2018-19,Nevada,MWC,SR,34,34,34.4,4.4,8.8,.505,3.4,6.0,.574,1.0,2.8,.358,2.2,2.9,.763,0.9,3.5,4.5,4.9,1.4,0.7,1.9,2.5,12.1,,2.68
Daniel Gafford,2017-18,Arkansas,SEC,FR,35,26,22.6,4.7,7.7,.605,4.7,7.7,.605,0.0,0.0,,2.4,4.6,.528,2.2,4.0,6.2,0.7,0.5,2.2,1.1,3.3,11.8,,9.85
Daniel Gafford,2018-19,Arkansas,SEC,SO,32,32,28.7,6.7,10.1,.660,6.7,10.1,.660,0.0,0.0,,3.6,6.0,.591,2.8,5.8,8.7,0.7,0.9,2.0,2.4,2.8,16.9,,8.78
Justin James,2015-16,Wyoming,MWC,FR,30,3,16.4,1.9,4.5,.418,1.2,2.7,.457,0.6,1.8,.358,0.9,1.5,.565,0.3,1.6,1.9,0.8,0.3,0.3,0.7,1.5,5.2,,2.19
Justin James,2016-17,Wyoming,MWC,SO,37,6,26.3,5.4,11.6,.462,4.0,8.4,.478,1.3,3.2,.419,4.0,5.2,.762,1.2,3.8,5.0,2.2,0.8,0.5,2.5,2.6,16.0,,0.55
Justin James,2017-18,Wyoming,MWC,JR,32,32,31.1,6.6,13.9,.472,5.3,9.8,.540,1.3,4.1,.308,4.6,6.3,.726,0.6,5.4,6.0,3.1,1.1,0.5,2.5,2.5,18.9,,3.54
Justin James,2018-19,Wyoming,MWC,SR,32,32,38.2,7.1,17.4,.409,5.6,12.1,.459,1.6,5.3,.296,6.3,8.4,.741,1.0,7.5,8.5,4.4,1.5,0.6,4.2,2.1,22.1,,0.19
Eric Paschall,2014-15,Fordham,A-10,FR,27,27,31.2,5.6,13.3,.419,3.9,8.0,.488,1.7,5.3,.315,3.1,4.0,.794,1.7,3.8,5.5,1.0,0.8,0.4,2.8,2.0,15.9,,2.72
Eric Paschall,2015-16,,,Transfer
Eric Paschall,2016-17,Villanova,Big East,SO,36,8,21.7,2.8,5.4,.513,2.3,3.5,.638,0.5,1.9,.279,1.1,1.6,.695,1.4,2.4,3.8,0.6,0.5,0.5,1.2,2.5,7.2,,9.28
Eric Paschall,2017-18,Villanova,Big East,JR,38,38,29.8,3.8,7.1,.533,2.8,4.4,.639,0.9,2.7,.356,2.1,2.5,.813,1.8,3.4,5.3,2.2,0.9,0.6,1.7,2.4,10.6,,10.24
Eric Paschall,2018-19,Villanova,Big East,SR,36,36,36.1,5.4,12.1,.447,3.5,6.5,.532,1.9,5.6,.348,3.8,5.0,.746,1.3,4.9,6.1,2.1,0.7,0.5,2.3,2.1,16.5,,7.97
Admiral Schofield,2015-16,Tennessee,SEC,FR,32,22,18.7,2.9,6.5,.444,2.1,3.9,.540,0.8,2.6,.301,1.1,1.2,.897,1.3,2.7,4.0,0.9,0.4,0.3,0.7,2.8,7.6,,7.86
Admiral Schofield,2016-17,Tennessee,SEC,SO,28,2,19.0,2.8,6.1,.453,2.0,4.2,.483,0.8,1.9,.389,1.9,2.4,.779,0.9,3.5,4.4,0.8,0.3,0.2,1.1,2.3,8.2,,10.18
Admiral Schofield,2017-18,Tennessee,SEC,JR,35,34,28.1,5.1,11.3,.447,3.2,6.7,.483,1.8,4.6,.395,1.9,2.6,.756,1.6,4.8,6.4,1.5,1.0,0.4,1.8,2.9,13.9,,10.12
Admiral Schofield,2018-19,Tennessee,SEC,SR,37,37,31.8,6.4,13.6,.474,4.4,8.8,.505,2.0,4.8,.418,1.6,2.3,.698,1.2,5.0,6.1,2.0,0.9,0.5,1.9,2.5,16.5,,10.16
Jaylen Nowell,2017-18,Washington,Pac-12,FR,34,31,32.5,6.0,13.2,.451,4.8,10.0,.484,1.1,3.3,.351,2.9,3.7,.800,1.0,3.0,4.0,2.7,1.1,0.3,2.5,2.8,16.0,,6.06
Jaylen Nowell,2018-19,Washington,Pac-12,SO,36,36,34.4,6.1,12.1,.502,4.6,8.8,.525,1.4,3.2,.440,2.6,3.4,.779,1.0,4.3,5.3,3.1,1.3,0.3,2.9,2.3,16.2,,7.01
Bol Bol,2018-19,Oregon,Pac-12,FR,9,9,29.8,8.2,14.7,.561,6.8,11.9,.570,1.4,2.8,.520,3.1,4.1,.757,2.1,7.4,9.6,1.0,0.8,2.7,2.0,1.7,21.0,,6.13
Isaiah Roby,2016-17,Nebraska,Big Ten,FR,30,4,15.2,1.2,3.1,.394,1.1,2.5,.446,0.1,0.7,.200,0.5,0.7,.762,1.2,1.7,2.9,0.7,0.5,0.8,1.2,1.9,3.1,,10.74
Isaiah Roby,2017-18,Nebraska,Big Ten,SO,32,13,24.0,3.0,5.3,.565,2.4,3.9,.619,0.5,1.3,.405,2.2,3.1,.724,1.7,4.6,6.3,1.7,0.6,2.0,1.5,3.2,8.7,,7.33
Isaiah Roby,2018-19,Nebraska,Big Ten,JR,35,35,31.2,4.2,9.3,.454,3.4,6.9,.496,0.8,2.4,.333,2.6,3.8,.677,1.9,5.0,6.9,1.9,1.3,1.9,2.0,3.2,11.8,,11.31
Talen Horton-Tucker,2018-19,Iowa State,Big 12,FR,35,34,27.2,4.4,10.9,.406,3.0,6.4,.475,1.4,4.5,.308,1.6,2.5,.625,0.7,4.2,4.9,2.3,1.3,0.7,1.7,2.3,11.8,,9.30
Ignas Brazdeikis,2018-19,Michigan,Big Ten,FR,37,37,29.6,5.1,11.0,.462,3.6,7.1,.500,1.5,3.9,.392,3.1,4.1,.773,1.2,4.3,5.4,0.8,0.7,0.5,1.2,2.1,14.8,,10.55
Terance Mann,2015-16,Florida State,ACC,FR,34,0,17.0,2.1,3.7,.584,2.0,3.3,.616,0.1,0.4,.308,0.8,1.7,.458,1.3,2.4,3.7,0.9,0.6,0.2,0.7,1.8,5.2,,8.16
Terance Mann,2016-17,Florida State,ACC,SO,35,34,25.0,3.3,5.7,.576,3.1,5.0,.611,0.2,0.7,.304,1.7,2.5,.663,1.9,2.7,4.5,1.7,1.0,0.2,1.2,2.3,8.4,,8.87
Terance Mann,2017-18,Florida State,ACC,JR,34,31,29.2,5.0,8.9,.568,4.6,7.3,.635,0.4,1.5,.250,2.2,3.3,.655,1.9,3.5,5.4,2.6,0.9,0.3,1.8,1.7,12.6,,8.50
Terance Mann,2018-19,Florida State,ACC,SR,37,36,31.7,4.0,7.9,.505,3.2,5.8,.547,0.8,2.1,.390,2.6,3.4,.790,2.5,4.0,6.5,2.5,0.7,0.3,1.8,2.2,11.4,,10.26
Quinndary Weatherspoon,2015-16,Mississippi State,SEC,FR,31,17,27.0,4.3,9.6,.448,2.9,6.1,.479,1.4,3.5,.394,2.0,2.5,.805,1.5,3.2,4.7,1.4,1.4,0.5,1.5,2.4,12.0,,6.02
Quinndary Weatherspoon,2016-17,Mississippi State,SEC,SO,29,29,31.9,6.0,12.7,.469,4.3,8.4,.519,1.6,4.3,.373,2.9,3.8,.766,1.4,3.7,5.1,1.8,1.7,0.3,2.2,2.3,16.5,,5.90
Quinndary Weatherspoon,2017-18,Mississippi State,SEC,JR,37,37,31.4,5.1,10.4,.484,3.9,6.8,.575,1.1,3.6,.313,3.2,4.1,.771,1.5,4.5,6.0,3.3,1.4,0.3,2.7,2.3,14.4,,6.82
Quinndary Weatherspoon,2018-19,Mississippi State,SEC,SR,34,34,34.0,6.3,12.3,.508,4.6,8.2,.564,1.6,4.1,.396,4.4,5.4,.809,1.3,3.4,4.7,2.8,1.7,0.3,2.9,2.1,18.5,,9.07
Jarrell Brantley,2015-16,College of Charleston,CAA,FR,31,31,28.4,4.3,9.4,.462,3.9,8.1,.482,0.4,1.3,.333,2.7,3.7,.716,2.1,5.3,7.3,1.3,1.3,0.5,2.5,3.2,11.7,,0.04
Jarrell Brantley,2016-17,College of Charleston,CAA,SO,35,34,32.0,4.9,10.6,.459,4.0,8.2,.486,0.9,2.4,.369,3.6,4.7,.758,1.7,6.7,8.4,1.2,1.1,0.7,2.6,2.9,14.2,,-0.19
Jarrell Brantley,2017-18,College of Charleston,CAA,JR,24,21,32.3,6.4,12.8,.500,5.1,9.5,.539,1.3,3.3,.385,3.3,4.0,.821,1.8,5.3,7.1,1.7,1.0,0.8,2.5,3.0,17.3,,-3.29
Jarrell Brantley,2018-19,College of Charleston,CAA,SR,33,33,34.0,7.2,13.9,.517,6.0,10.4,.582,1.2,3.5,.328,3.9,4.9,.785,1.7,6.7,8.4,2.4,1.4,0.9,2.6,2.7,19.4,,-2.95
Tremont Waters,2017-18,LSU,SEC,FR,33,32,33.0,5.1,12.2,.417,2.9,6.0,.485,2.2,6.2,.351,3.5,4.4,.801,0.3,3.1,3.4,6.0,2.0,0.1,2.9,2.2,15.9,,8.02
Tremont Waters,2018-19,LSU,SEC,SO,33,29,32.4,5.2,12.1,.430,3.5,6.9,.507,1.7,5.2,.327,3.2,3.9,.813,0.3,2.5,2.8,5.8,2.9,0.1,3.5,1.9,15.3,,9.16
Jalen McDaniels,2017-18,San Diego State,MWC,FR,33,21,24.7,3.8,6.5,.586,3.7,5.9,.622,0.1,0.6,.211,2.7,3.4,.788,2.2,5.3,7.5,0.9,0.8,0.6,1.1,2.3,10.5,,3.91
Jalen McDaniels,2018-19,San Diego State,MWC,SO,34,34,31.0,6.2,13.4,.466,5.5,11.2,.495,0.7,2.2,.320,2.7,3.7,.732,2.0,6.3,8.3,2.1,1.1,0.5,2.4,2.9,15.9,,2.47
Justin Wright-Foreman,2015-16,Hofstra,CAA,FR,27,0,4.1,0.6,1.4,.447,0.5,0.8,.619,0.1,0.6,.235,0.2,0.4,.545,0.0,0.3,0.3,0.1,0.1,0.1,0.3,0.5,1.6,,0.77
Justin Wright-Foreman,2016-17,Hofstra,CAA,SO,32,17,28.3,6.5,13.2,.493,4.4,7.6,.583,2.1,5.6,.372,3.0,4.0,.764,0.7,2.9,3.6,1.6,0.8,0.1,1.4,1.8,18.1,,-1.90
Justin Wright-Foreman,2017-18,Hofstra,CAA,JR,31,30,37.8,8.5,19.0,.449,5.4,10.5,.515,3.1,8.5,.366,4.2,5.3,.799,0.3,3.0,3.3,3.2,0.8,0.2,2.2,2.0,24.4,,-1.60
Justin Wright-Foreman,2018-19,Hofstra,CAA,SR,35,35,37.7,9.4,18.5,.511,6.3,11.1,.568,3.1,7.4,.425,5.1,5.9,.864,0.3,3.7,4.0,2.9,0.9,0.2,2.6,1.9,27.1,,-4.53
Marial Shayok,2014-15,Virginia,ACC,FR,34,1,14.6,1.4,3.4,.405,0.8,1.9,.424,0.6,1.5,.380,0.5,0.8,.630,0.2,1.6,1.8,1.0,0.6,0.3,0.6,1.3,3.8,,7.81
Marial Shayok,2015-16,Virginia,ACC,SO,35,8,15.0,1.7,3.4,.492,1.2,2.3,.519,0.5,1.1,.436,0.5,0.9,.548,0.2,1.7,1.9,1.1,0.3,0.1,0.8,1.5,4.3,,11.12
Marial Shayok,2016-17,Virginia,ACC,JR,34,14,20.6,3.6,8.0,.445,3.0,6.3,.477,0.6,1.7,.328,1.3,1.6,.796,0.4,2.1,2.4,1.0,0.9,0.3,1.1,1.4,8.9,,10.93
Marial Shayok,2017-18-RS,Iowa State,Big 12,Transfer
Marial Shayok,2018-19,Iowa State,Big 12,SR,34,34,32.9,6.7,13.6,.496,4.6,8.2,.568,2.1,5.4,.386,3.2,3.6,.878,1.4,3.5,4.9,2.0,0.9,0.2,2.7,2.1,18.7,,9.30
Kyle Guy,2016-17,Virginia,ACC,FR,34,7,18.6,2.6,6.0,.439,1.1,3.0,.382,1.5,3.0,.495,0.7,1.0,.714,0.1,1.5,1.7,1.3,0.4,0.0,0.6,1.1,7.5,,10.93
Kyle Guy,2017-18,Virginia,ACC,SO,34,33,32.4,5.2,12.6,.415,2.8,6.4,.438,2.4,6.2,.392,1.2,1.5,.824,0.4,2.2,2.6,1.5,1.0,0.0,1.2,1.2,14.1,,9.05
Kyle Guy,2018-19,Virginia,ACC,JR,38,38,35.4,5.2,11.6,.449,2.1,4.2,.491,3.2,7.4,.426,1.8,2.2,.833,0.7,3.8,4.5,2.1,0.7,0.1,1.4,1.0,15.4,,10.15
Jaylen Hands,2017-18,UCLA,Pac-12,FR,31,15,25.2,3.3,8.1,.405,1.9,4.4,.431,1.4,3.7,.374,1.9,2.6,.738,0.6,3.4,4.0,2.6,1.0,0.2,1.8,1.6,9.9,,6.86
Jaylen Hands,2018-19,UCLA,Pac-12,SO,33,33,31.2,4.8,11.6,.413,2.8,6.2,.447,2.0,5.4,.373,2.6,3.3,.780,0.4,3.3,3.7,6.1,1.3,0.2,3.2,1.2,14.2,,6.78
Jordan Bone,2016-17,Tennessee,SEC,FR,23,17,19.6,2.7,7.1,.372,2.0,5.1,.398,0.6,2.0,.304,1.3,1.7,.769,0.3,1.4,1.7,2.9,0.5,0.0,1.4,1.3,7.2,,10.18
Jordan Bone,2017-18,Tennessee,SEC,SO,35,33,23.1,2.6,6.7,.391,1.9,4.7,.396,0.8,2.0,.380,1.3,1.6,.821,0.2,1.8,2.1,3.5,0.7,0.1,1.3,1.1,7.3,,10.12
Jordan Bone,2018-19,Tennessee,SEC,JR,37,37,32.9,5.0,10.8,.465,3.7,7.0,.525,1.4,3.8,.355,2.1,2.5,.835,0.5,2.7,3.2,5.8,0.7,0.1,2.0,1.3,13.5,,10.16
Miye Oni,2016-17,Yale,Ivy,FR,29,28,31.2,4.4,9.9,.441,2.3,4.6,.493,2.1,5.3,.396,2.0,2.6,.784,0.9,5.4,6.3,2.7,0.7,1.1,2.3,2.9,12.9,,-2.19
Miye Oni,2017-18,Yale,Ivy,SO,29,26,32.8,5.4,13.3,.405,3.4,6.9,.493,2.0,6.3,.310,2.4,3.2,.750,0.9,5.1,6.0,3.6,0.9,0.8,2.8,2.8,15.1,,-2.83
Miye Oni,2018-19,Yale,Ivy,JR,29,28,31.0,5.8,13.1,.441,3.8,7.9,.487,1.9,5.2,.371,3.7,4.7,.793,0.7,5.6,6.3,3.6,0.9,1.3,2.6,2.7,17.1,,-1.24
Dewan Hernandez,2016-17,Miami (FL),ACC,FR,32,15,17.4,2.4,4.5,.531,2.4,4.5,.538,0.0,0.1,.000,1.0,1.6,.647,1.4,1.7,3.1,0.2,0.4,0.8,0.9,1.9,5.8,,9.57
Dewan Hernandez,2017-18,Miami (FL),ACC,SO,32,32,25.8,4.6,8.0,.576,4.6,7.9,.583,0.0,0.1,.000,2.2,3.2,.689,2.0,4.6,6.7,0.4,0.5,1.0,1.4,1.9,11.4,,6.96
Deandre Ayton,2017-18,Arizona,Pac-12,FR,35,35,33.5,7.9,12.9,.612,7.5,11.9,.635,0.3,1.0,.343,4.0,5.5,.733,3.4,8.2,11.6,1.6,0.6,1.9,2.0,2.3,20.1,,6.84
Marvin Bagley III,2017-18,Duke,ACC,FR,33,32,33.9,8.2,13.3,.614,7.5,11.6,.647,0.7,1.8,.397,4.0,6.3,.627,4.0,7.1,11.1,1.5,0.8,0.9,2.3,1.8,21.0,,9.70
Jaren Jackson Jr.,2017-18,Michigan State,Big Ten,FR,35,34,21.8,3.4,6.6,.513,2.3,3.9,.596,1.1,2.7,.396,3.0,3.8,.797,1.5,4.3,5.8,1.1,0.6,3.0,1.8,3.2,10.9,,7.10
Trae Young,2017-18,Oklahoma,Big 12,FR,32,32,35.4,8.2,19.3,.422,4.5,9.1,.493,3.7,10.3,.360,7.4,8.6,.861,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4,,10.56
Mo Bamba,2017-18,Texas,Big 12,FR,30,29,30.2,4.9,9.0,.541,4.4,7.3,.603,0.5,1.7,.275,2.7,4.0,.681,3.2,7.3,10.5,0.5,0.8,3.7,1.5,2.5,12.9,,10.67
Wendell Carter Jr.,2017-18,Duke,ACC,FR,37,37,26.9,4.8,8.6,.561,4.3,7.4,.586,0.5,1.2,.413,3.4,4.5,.738,2.9,6.1,9.1,2.0,0.8,2.1,2.0,2.8,13.5,,9.70
Collin Sexton,2017-18,Alabama,SEC,FR,33,32,29.9,5.9,13.3,.447,4.6,9.3,.495,1.3,4.0,.336,5.9,7.6,.778,1.0,2.7,3.8,3.6,0.8,0.1,2.8,2.5,19.2,,10.64
Kevin Knox,2017-18,Kentucky,SEC,FR,37,37,32.4,5.3,11.9,.445,3.8,7.4,.509,1.5,4.5,.341,3.4,4.4,.774,0.9,4.5,5.4,1.4,0.8,0.3,2.3,2.2,15.6,,10.73
Mikal Bridges,2015-16,Villanova,Big East,FR,40,0,20.3,2.2,4.1,.521,1.6,2.2,.716,0.6,1.9,.299,1.5,1.9,.787,0.9,2.3,3.2,0.9,1.1,0.7,0.6,2.2,6.4,,9.71
Mikal Bridges,2016-17,Villanova,Big East,SO,36,33,29.8,3.6,6.5,.549,2.3,3.4,.694,1.2,3.1,.393,1.4,1.6,.911,1.1,3.4,4.6,2.0,1.7,0.9,1.3,2.3,9.8,,9.28
Mikal Bridges,2017-18,Villanova,Big East,JR,40,40,32.1,6.1,11.9,.514,3.5,5.9,.593,2.6,6.0,.435,2.9,3.4,.851,1.4,4.0,5.3,1.9,1.5,1.1,1.4,2.2,17.7,,10.24
Shai Gilgeous-Alexander,2017-18,Kentucky,SEC,FR,37,24,33.7,4.9,10.2,.485,4.3,8.6,.500,0.6,1.5,.404,3.9,4.7,.817,0.9,3.2,4.1,5.1,1.6,0.5,2.7,1.7,14.4,,10.73
Miles Bridges,2016-17,Michigan State,Big Ten,FR,28,27,32.0,6.3,13.0,.486,4.3,7.9,.550,2.0,5.1,.389,2.3,3.3,.685,1.5,6.8,8.3,2.1,0.7,1.5,2.4,1.9,16.9,,10.50
Miles Bridges,2017-18,Michigan State,Big Ten,SO,34,33,31.4,6.1,13.4,.457,4.1,7.7,.527,2.1,5.7,.364,2.7,3.2,.853,1.3,5.7,7.0,2.7,0.6,0.8,2.0,1.6,17.1,,7.10
Jerome Robinson,2015-16,Boston College,ACC,FR,23,23,33.4,4.3,10.1,.429,3.3,7.4,.447,1.0,2.7,.381,2.0,3.0,.643,0.4,3.7,4.0,3.0,1.4,0.3,2.7,2.1,11.7,,7.67
Jerome Robinson,2016-17,Boston College,ACC,SO,32,32,34.0,6.7,15.7,.423,5.0,10.7,.466,1.7,5.1,.333,3.7,5.1,.722,0.6,3.3,3.9,3.4,1.7,0.4,3.2,2.8,18.7,,8.08
Jerome Robinson,2017-18,Boston College,ACC,JR,35,35,36.0,7.1,14.7,.485,4.8,9.0,.533,2.3,5.7,.409,4.2,5.0,.830,0.5,3.1,3.6,3.3,0.9,0.1,2.7,2.5,20.7,,7.20
Michael Porter Jr.,2017-18,Missouri,SEC,FR,3,1,17.7,3.3,10.0,.333,2.3,6.7,.350,1.0,3.3,.300,2.3,3.0,.778,1.3,5.3,6.7,0.3,1.0,0.3,1.0,2.0,10.0,,9.19
Troy Brown Jr.,2017-18,Oregon,Pac-12,FR,35,35,31.2,4.1,9.2,.444,3.2,6.1,.524,0.9,3.1,.291,2.2,3.0,.743,1.5,4.7,6.2,3.2,1.6,0.2,2.5,2.2,11.3,,4.84
Zhaire Smith,2017-18,Texas Tech,Big 12,FR,37,21,28.4,4.2,7.5,.556,3.7,6.4,.574,0.5,1.1,.450,2.5,3.4,.717,2.2,2.8,5.0,1.8,1.1,1.1,1.1,1.8,11.3,,9.60
Donte DiVincenzo,2015-16,Villanova,Big East,FR,9,1,8.2,0.7,2.3,.286,0.3,0.4,.750,0.3,1.9,.176,0.0,0.0,,1.1,0.7,1.8,0.4,0.4,0.0,0.8,1.1,1.7,,9.71
Donte DiVincenzo,2016-17,Villanova,Big East,FR,36,1,25.5,3.0,6.5,.466,1.9,3.3,.563,1.2,3.2,.365,1.6,2.3,.699,1.0,2.8,3.8,1.7,0.9,0.3,1.4,1.6,8.8,,9.28
Donte DiVincenzo,2017-18,Villanova,Big East,SO,40,10,29.3,4.7,9.8,.481,2.6,4.5,.575,2.1,5.3,.401,1.9,2.7,.710,1.2,3.6,4.8,3.5,1.1,0.2,2.0,2.1,13.4,,10.24
Lonnie Walker IV,2017-18,Miami (FL),ACC,FR,32,18,27.8,4.1,9.9,.415,2.4,4.9,.487,1.8,5.1,.346,1.5,2.0,.738,0.4,2.2,2.6,1.9,0.9,0.5,1.2,1.6,11.5,,6.96
Kevin Huerter,2016-17,Maryland,Big Ten,FR,33,33,29.4,3.4,8.0,.420,1.4,2.7,.517,2.0,5.3,.371,0.6,0.8,.714,0.7,4.3,4.9,2.7,1.0,0.7,1.4,1.8,9.3,,8.29
Kevin Huerter,2017-18,Maryland,Big Ten,SO,32,32,34.4,5.1,10.1,.503,2.8,4.6,.605,2.3,5.5,.417,2.3,3.1,.758,1.0,4.1,5.0,3.4,0.6,0.7,2.5,2.4,14.8,,7.94
Josh Okogie,2016-17,Georgia Tech,ACC,FR,37,37,30.8,5.2,11.6,.453,4.5,9.6,.468,0.8,2.0,.384,4.9,6.5,.747,1.5,3.9,5.4,1.6,1.3,0.7,2.1,2.5,16.1,,8.21
Josh Okogie,2017-18,Georgia Tech,ACC,SO,24,24,36.4,5.5,13.3,.416,4.0,9.2,.432,1.6,4.2,.380,5.5,6.8,.821,2.3,4.0,6.3,2.5,1.8,1.0,2.5,2.9,18.2,,7.46
Grayson Allen,2014-15,Duke,ACC,FR,35,0,9.2,1.3,3.0,.425,0.8,1.5,.500,0.5,1.5,.346,1.3,1.5,.849,0.3,0.7,1.0,0.4,0.3,0.1,0.4,1.2,4.4,,9.87
Grayson Allen,2015-16,Duke,ACC,SO,36,35,36.6,6.6,14.3,.466,4.1,8.3,.502,2.5,6.0,.417,5.9,7.0,.837,0.7,3.9,4.6,3.5,1.3,0.1,2.0,2.7,21.6,,10.59
Grayson Allen,2016-17,Duke,ACC,JR,34,25,29.6,4.1,10.5,.395,1.8,4.0,.444,2.4,6.5,.365,3.8,4.7,.811,0.7,3.1,3.7,3.5,0.8,0.1,2.2,2.3,14.5,,10.91
Grayson Allen,2017-18,Duke,ACC,SR,37,37,35.6,4.9,11.7,.418,2.1,4.2,.503,2.8,7.5,.370,2.9,3.4,.850,0.5,2.8,3.3,4.6,1.7,0.1,2.1,2.1,15.5,,9.70
Chandler Hutchison,2014-15,Boise State,MWC,FR,29,18,12.3,1.1,3.0,.356,0.9,2.5,.370,0.1,0.5,.286,0.8,1.3,.649,0.8,1.2,2.0,0.8,0.5,0.1,0.5,1.4,3.1,,1.38
Chandler Hutchison,2015-16,Boise State,MWC,SO,31,8,19.8,2.6,5.2,.497,2.5,4.8,.520,0.1,0.4,.231,1.6,2.5,.636,1.6,2.5,4.1,1.3,0.7,0.4,1.0,2.1,6.8,,3.13
Chandler Hutchison,2016-17,Boise State,MWC,JR,32,32,31.7,6.5,13.1,.495,5.7,10.9,.519,0.8,2.2,.377,3.7,5.5,.665,1.2,6.6,7.8,2.6,1.2,0.2,2.7,2.7,17.4,,2.72
Chandler Hutchison,2017-18,Boise State,MWC,SR,31,31,31.0,6.6,13.9,.475,5.1,9.8,.523,1.5,4.1,.359,5.3,7.2,.728,0.9,6.8,7.7,3.5,1.5,0.3,3.4,2.4,20.0,,3.05
Aaron Holiday,2015-16,UCLA,Pac-12,FR,32,32,31.7,3.6,9.0,.394,2.3,6.1,.383,1.2,2.9,.419,2.0,2.8,.727,0.6,2.4,3.0,4.0,1.4,0.3,2.9,3.2,10.3,,9.69
Aaron Holiday,2016-17,UCLA,Pac-12,SO,36,0,26.4,4.2,8.6,.485,2.7,5.0,.539,1.5,3.6,.411,2.4,3.1,.793,0.3,2.5,2.9,4.4,1.1,0.2,2.4,2.3,12.3,,6.39
Aaron Holiday,2017-18,UCLA,Pac-12,JR,33,33,37.7,6.4,13.9,.461,3.8,7.7,.486,2.7,6.2,.429,4.8,5.8,.828,0.5,3.2,3.7,5.8,1.3,0.2,3.8,2.6,20.3,,6.86
