Player,Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
Kira Lewis Jr.,2018-19,Alabama,SEC,FR,34,34,31.6,4.6,10.7,.433,3.0,6.2,.486,1.6,4.4,.358,2.6,3.4,.783,0.4,2.2,2.6,2.9,0.8,0.3,2.2,1.8,13.5,,9.01
Kira Lewis Jr.,2019-20,Alabama,SEC,SO,31,31,37.6,6.6,14.5,.459,4.8,9.5,.507,1.8,4.9,.366,3.4,4.2,.802,0.8,3.9,4.8,5.2,1.8,0.6,3.5,2.6,18.5,,8.12
Aaron Nesmith,2018-19,Vanderbilt,SEC,FR,32,19,29.0,3.6,9.1,.392,1.7,3.6,.474,1.8,5.5,.337,2.1,2.5,.825,1.1,4.5,5.5,1.4,0.7,0.6,1.6,3.1,11.0,,7.79
Aaron Nesmith,2019-20,Vanderbilt,SEC,SO,14,14,35.7,7.5,14.6,.512,3.2,6.4,.500,4.3,8.2,.522,3.7,4.5,.825,0.8,4.1,4.9,0.9,1.4,0.9,1.7,2.8,23.0,,6.41
Cole Anthony,2019-20,UNC,ACC,FR,22,20,34.9,6.0,15.7,.380,3.7,9.3,.402,2.2,6.4,.348,4.4,5.8,.750,0.5,5.2,5.7,4.0,1.3,0.3,3.5,2.9,18.5,,10.05
Isaiah Stewart,2019-20,Washington,Pac-12,FR,32,32,32.2,6.0,10.5,.570,5.8,9.9,.590,0.2,0.6,.250,4.8,6.2,.774,2.8,6.0,8.8,0.8,0.5,2.1,2.2,2.6,17.0,,8.25
Josh Green,2019-20,Arizona,Pac-12,FR,30,30,30.9,4.1,9.6,.424,3.1,6.8,.449,1.0,2.8,.361,2.8,3.6,.780,1.3,3.3,4.6,2.6,1.5,0.4,1.6,2.4,12.0,,8.40
Saddiq Bey,2018-19,Villanova,Big East,FR,36,29,29.6,3.0,6.6,.458,1.7,3.0,.561,1.4,3.6,.374,0.8,1.3,.644,2.1,3.0,5.1,1.3,0.9,0.3,0.8,2.2,8.2,,7.97
Saddiq Bey,2019-20,Villanova,Big East,SO,31,31,33.9,5.6,11.8,.477,3.1,6.2,.500,2.5,5.6,.451,2.3,2.9,.769,1.3,3.5,4.7,2.4,0.8,0.4,1.5,2.5,16.1,,10.03
Precious Achiuwa,2019-20,Memphis,AAC,FR,31,31,30.4,5.9,11.9,.493,5.5,10.6,.514,0.4,1.3,.325,3.6,6.0,.599,3.0,7.8,10.8,1.0,1.1,1.9,2.8,2.4,15.8,,5.07
Tyrese Maxey,2019-20,Kentucky,SEC,FR,31,28,34.5,4.8,11.3,.427,3.8,7.7,.492,1.1,3.6,.292,3.2,3.9,.833,0.4,3.9,4.3,3.2,0.9,0.4,2.2,2.4,14.0,,7.46
Zeke Nnaji,2019-20,Arizona,Pac-12,FR,32,32,30.7,5.6,9.8,.570,5.4,9.3,.586,0.2,0.5,.294,4.8,6.3,.760,3.1,5.5,8.6,0.8,0.7,0.9,2.2,2.4,16.1,,8.40
Immanuel Quickley,2018-19,Kentucky,SEC,FR,37,7,18.5,1.5,4.0,.372,0.7,1.6,.410,0.8,2.4,.345,1.4,1.7,.828,0.1,1.7,1.8,1.2,0.4,0.0,0.9,1.2,5.2,,10.29
